,llambda,S,f(S),c(S),Upb,AF,Lambda
0,0.5,"{32, 34, 7, 9, 13, 20, 21, 22, 24, 25, 26}",216.49778305349145,96.83000000000001,,0.8276238327773452,261.5895947884522
1,0.625,"{32, 6, 7, 13, 16, 48, 20, 22, 24, 25, 26}",208.57212656049816,97.14000000000001,,0.8019241474467422,260.0895947884522
2,0.75,"{1, 7, 9, 13, 16, 48, 20, 22, 24, 25, 26}",202.31010001693826,98.14000000000001,,0.7823597859088056,258.5895947884522
3,0.875,"{1, 7, 9, 13, 16, 48, 20, 22, 24, 25, 26}",194.64537587103734,98.14000000000001,,0.7571110609560162,257.0895947884522
4,1.0,"{1, 6, 10, 13, 16, 48, 20, 22, 24, 25, 26}",188.15068069057355,99.24000000000001,,0.7361437418698642,255.58959478845222
