task,algorithm,budget,heuristic,sorting,node_count,open_list_count,computational_time,f_S,seed,n
YoutubeCoverage,Efficient,6.0,ub0,d,4,0,0.86000657081604,18,0,1000
YoutubeCoverage,EfficientBFS,6.0,ub2,d,35,43,12.158413887023926,18,0,1000
YoutubeCoverage,BFSTC,7.0,ub0,d,31,17474,5000.297391653061,23,0,1000
YoutubeCoverage,Efficient,7.0,ub0,d,2,0,0.061003684997558594,23,0,1000
YoutubeCoverage,EfficientBFS,7.0,ub2,d,3,5,0.30769848823547363,23,0,1000
YoutubeCoverage,BFSTC,8.0,ub0,d,46,14858,5000.0799605846405,26,0,1000
YoutubeCoverage,Efficient,8.0,ub0,d,8360,0,10000.051811933517,26,0,1000
YoutubeCoverage,EfficientBFS,8.0,ub2,d,5,7,2.326589345932007,26,0,1000
YoutubeCoverage,BFSTC,9.0,ub0,d,43,8300,5000.480872869492,28,0,1000
YoutubeCoverage,Efficient,9.0,ub0,d,9137,0,10000.198627471924,28,0,1000
YoutubeCoverage,EfficientBFS,9.0,ub2,d,7,9,3.7187397480010986,28,0,1000
YoutubeCoverage,BFSTC,10.0,ub0,d,1,0,0.19384551048278809,30,0,1000
YoutubeCoverage,Efficient,10.0,ub0,d,8621,0,10000.152390956879,30,0,1000
YoutubeCoverage,EfficientBFS,10.0,ub2,d,1,1,0.07599854469299316,30,0,1000
YoutubeCoverage,BFSTC,11.0,ub0,d,1,0,0.1580033302307129,32,0,1000
YoutubeCoverage,Efficient,11.0,ub0,d,2,0,0.06399965286254883,32,0,1000
YoutubeCoverage,EfficientBFS,11.0,ub2,d,1,1,0.18099451065063477,32,0,1000
YoutubeCoverage,BFSTC,12.0,ub0,d,1,0,0.07300233840942383,33,0,1000
YoutubeCoverage,Efficient,12.0,ub0,d,8618,0,10000.029758691788,33,0,1000
YoutubeCoverage,EfficientBFS,12.0,ub2,d,1,1,0.11599850654602051,33,0,1000
YoutubeCoverage,BFSTC,13.0,ub0,d,14,12871,5000.293960571289,34,0,1000
YoutubeCoverage,Efficient,13.0,ub0,d,8550,0,10000.379736185074,34,0,1000
YoutubeCoverage,EfficientBFS,13.0,ub2,d,1,1,0.14500069618225098,34,0,1000
YoutubeCoverage,BFSTC,14.0,ub0,d,19,17438,5000.08345580101,35,0,1000
YoutubeCoverage,Efficient,14.0,ub0,d,8295,0,10000.065972805023,35,0,1000
YoutubeCoverage,EfficientBFS,14.0,ub2,d,1,1,0.1949934959411621,35,0,1000
YoutubeCoverage,BFSTC,15.0,ub0,d,19,16956,5000.242901325226,36,0,1000
YoutubeCoverage,Efficient,15.0,ub0,d,8302,0,10000.042356491089,36,0,1000
YoutubeCoverage,EfficientBFS,15.0,ub2,d,1,1,0.1900019645690918,36,0,1000
YoutubeCoverage,Efficient,6.0,ub0,d,2,0,0.050002098083496094,12,1,1000
YoutubeCoverage,EfficientBFS,6.0,ub2,d,1,1,0.03199934959411621,12,1,1000
YoutubeCoverage,Efficient,7.0,ub0,d,33811,0,10000.00021481514,13,1,1000
YoutubeCoverage,EfficientBFS,7.0,ub2,d,1,1,0.045000314712524414,13,1,1000
YoutubeCoverage,Efficient,8.0,ub0,d,36083,0,10000.090953826904,14,1,1000
YoutubeCoverage,EfficientBFS,8.0,ub2,d,1,1,0.033995866775512695,14,1,1000
YoutubeCoverage,Efficient,9.0,ub0,d,35152,0,10000.077790021896,15,1,1000
YoutubeCoverage,EfficientBFS,9.0,ub2,d,1,1,0.035997867584228516,15,1,1000
YoutubeCoverage,Efficient,10.0,ub0,d,34249,0,10000.008000850677,16,1,1000
YoutubeCoverage,EfficientBFS,10.0,ub2,d,10,11,1.720350742340088,16,1,1000
YoutubeCoverage,Efficient,11.0,ub0,d,2,0,0.05199599266052246,18,1,1000
YoutubeCoverage,EfficientBFS,11.0,ub2,d,1,1,0.046000003814697266,18,1,1000
YoutubeCoverage,Efficient,12.0,ub0,d,26444,0,10000.000538110733,19,1,1000
YoutubeCoverage,EfficientBFS,12.0,ub2,d,1,1,0.05200076103210449,19,1,1000
YoutubeCoverage,Efficient,13.0,ub0,d,26732,0,10000.000169754028,20,1,1000
