task,n,AF,algorithm,budget,heuristic,sorting,node_count,open_list_count,computational_time,f_S
YoutubeCoverage,1000,0.95,EfficientBFS,7,ub2,d,3,5,0.307698488,23
YoutubeCoverage,1000,0.95,BFSTC,8,ub0,d,46,14858,5000.079961,26
YoutubeCoverage,1000,0.95,Efficient,8,ub0,d,8360,0,10000.05181,26
YoutubeCoverage,1000,0.95,EfficientBFS,8,ub2,d,5,7,2.326589346,26
YoutubeCoverage,1000,0.95,BFSTC,9,ub0,d,43,8300,5000.480873,28
YoutubeCoverage,1000,0.95,Efficient,9,ub0,d,9137,0,10000.19863,28
YoutubeCoverage,1000,0.95,EfficientBFS,9,ub2,d,7,9,3.718739748,28
YoutubeCoverage,1000,0.95,BFSTC,10,ub0,d,1,0,0.19384551,30
YoutubeCoverage,1000,0.95,Efficient,10,ub0,d,8621,0,10000.15239,30
YoutubeCoverage,1000,0.95,EfficientBFS,10,ub2,d,1,1,0.075998545,30
YoutubeCoverage,1000,0.95,BFSTC,11,ub0,d,1,0,0.15800333,32
YoutubeCoverage,1000,0.95,Efficient,11,ub0,d,2,0,0.063999653,32
YoutubeCoverage,1000,0.95,EfficientBFS,11,ub2,d,1,1,0.180994511,32
YoutubeCoverage,1000,0.95,BFSTC,12,ub0,d,1,0,0.073002338,33
YoutubeCoverage,1000,0.95,Efficient,12,ub0,d,8618,0,10000.02976,33
YoutubeCoverage,1000,0.95,EfficientBFS,12,ub2,d,1,1,0.115998507,33
YoutubeCoverage,1000,0.95,BFSTC,13,ub0,d,14,12871,5000.293961,34
YoutubeCoverage,1000,0.95,Efficient,13,ub0,d,8550,0,10000.37974,34
YoutubeCoverage,1000,0.95,EfficientBFS,13,ub2,d,1,1,0.145000696,34
YoutubeCoverage,1000,0.95,BFSTC,14,ub0,d,19,17438,5000.083456,35
YoutubeCoverage,1000,0.95,Efficient,14,ub0,d,8295,0,10000.06597,35
YoutubeCoverage,1000,0.95,EfficientBFS,14,ub2,d,1,1,0.194993496,35
YoutubeCoverage,1000,0.95,BFSTC,15,ub0,d,19,16956,5000.242901,36
YoutubeCoverage,1000,0.95,Efficient,15,ub0,d,8302,0,10000.04236,36
YoutubeCoverage,1000,0.95,EfficientBFS,15,ub2,d,1,1,0.190001965,36
