Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
adult,111,0,EfficientBFS,density_gap,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.44459843635559,1,1,7
adult,111,0,EfficientBFS,probing,False,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.321569204330444,1,1,7
adult,111,0,EfficientBFS,probing,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,15.989813566207886,1,1,7
adult,111,0,EfficientBFS,traditional,False,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.12581157684326,1,1,7
adult,111,0,EfficientBFS,traditional,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.26763677597046,1,1,7
adult,111,0,EfficientBFS,volume_biased,False,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.18456792831421,1,1,7
adult,111,0,EfficientBFS,volume_biased,True,ub2,d,10.0,0.95,AdultIncomeFeatureSelection,8.655822627528229,9.30543439168037,16.18406844139099,1,1,7
adult,111,0,EfficientBFS,density_gap,False,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.60845398902893,1,1,8
adult,111,0,EfficientBFS,density_gap,True,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.334537982940674,1,1,8
adult,111,0,EfficientBFS,probing,False,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.587252140045166,1,1,8
adult,111,0,EfficientBFS,probing,True,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.790507793426514,1,1,8
adult,111,0,EfficientBFS,traditional,False,ub2,d,11.0,0.95,AdultIncomeFeatureSelection,8.783987100764925,10.630816058753307,17.705772638320923,1,1,8
